1	1.-.-.-	Oxidoreductases
2	1.1.-.-	Acting on the CH-OH group of donors
3	1.1.1.-	With NAD(+) or NADP(+) as acceptor
4	1.1.2.-	With a cytochrome as acceptor
5	1.1.3.-	With oxygen as acceptor
6	1.1.4.-	With a disulfide as acceptor
7	1.1.5.-	With a quinone or similar compound as acceptor
8	1.1.7.-	With an iron-sulfur protein as acceptor
9	1.1.9.-	With a copper protein as acceptor
10	1.1.98.-	With other, known, acceptors
11	1.1.99.-	With other acceptors
12	1.2.-.-	Acting on the aldehyde or oxo group of donors
13	1.2.1.-	With NAD(+) or NADP(+) as acceptor
14	1.2.2.-	With a cytochrome as acceptor
15	1.2.3.-	With oxygen as acceptor
16	1.2.4.-	With a disulfide as acceptor
17	1.2.5.-	With a quinone or similar compound as acceptor
18	1.2.7.-	With an iron-sulfur protein as acceptor
19	1.2.98.-	With other, known, acceptors
20	1.2.99.-	With other acceptors
21	1.3.-.-	Acting on the CH-CH group of donors
22	1.3.1.-	With NAD(+) or NADP(+) as acceptor
23	1.3.2.-	With a cytochrome as acceptor
24	1.3.3.-	With oxygen as acceptor
25	1.3.4.-	With a disulfide as acceptor
26	1.3.5.-	With a quinone or related compound as acceptor
27	1.3.7.-	With an iron-sulfur protein as acceptor
28	1.3.8.-	With a flavin as acceptor
29	1.3.98.-	With other, known, acceptors
30	1.3.99.-	With other acceptors
31	1.4.-.-	Acting on the CH-NH2 group of donors
32	1.4.1.-	With NAD(+) or NADP(+) as acceptor
33	1.4.2.-	With a cytochrome as acceptor
34	1.4.3.-	With oxygen as acceptor
35	1.4.4.-	With a disulfide as acceptor
36	1.4.5.-	With a quinone or similar compound as acceptor
37	1.4.7.-	With an iron-sulfur protein as acceptor
38	1.4.9.-	With a copper protein as acceptor
39	1.4.98.-	With other, known, acceptors
40	1.4.99.-	With other acceptors
41	1.5.-.-	Acting on the CH-NH group of donors
42	1.5.1.-	With NAD(+) or NADP(+) as acceptor
43	1.5.3.-	With oxygen as acceptor
44	1.5.4.-	With a disulfide as acceptor
45	1.5.5.-	With a quinone or similar compound as acceptor
46	1.5.7.-	With an iron-sulfur protein as acceptor
47	1.5.8.-	With a flavin as acceptor
48	1.5.98.-	With other, known, acceptors
49	1.5.99.-	With other acceptors
50	1.6.-.-	Acting on NADH or NADPH
51	1.6.1.-	With NAD(+) or NADP(+) as acceptor
52	1.6.2.-	With a heme protein as acceptor
53	1.6.3.-	With oxygen as acceptor
54	1.6.4.-	With a disulfide as acceptor
55	1.6.5.-	With a quinone or similar compound as acceptor
56	1.6.6.-	With a nitrogenous group as acceptor
57	1.6.7.-	With a iron-sulfur protein as acceptor
58	1.6.8.-	With a flavin as acceptor
59	1.6.99.-	With other acceptors
60	1.7.-.-	Acting on other nitrogenous compounds as donors
61	1.7.1.-	With NAD(+) or NADP(+) as acceptor
62	1.7.2.-	With a cytochrome as acceptor
63	1.7.3.-	With oxygen as acceptor
64	1.7.5.-	With a quinone or similar compound as acceptor
65	1.7.6.-	With a nitrogenous group as acceptor
66	1.7.7.-	With an iron-sulfur protein as acceptor
67	1.7.9.-	With a copper protein as acceptor
68	1.7.99.-	With other acceptors
69	1.8.-.-	Acting on a sulfur group of donors
70	1.8.1.-	With NAD(+) or NADP(+) as acceptor
71	1.8.2.-	With a cytochrome as acceptor
72	1.8.3.-	With oxygen as acceptor
73	1.8.4.-	With a disulfide as acceptor
74	1.8.5.-	With a quinone or similar compound as acceptor
75	1.8.6.-	With an nitrogenous group as acceptor
76	1.8.7.-	With an iron-sulfur protein as acceptor
77	1.8.98.-	With other, known, acceptors
78	1.8.99.-	With other acceptors
79	1.9.-.-	Acting on a heme group of donors
80	1.9.3.-	With oxygen as acceptor
81	1.9.6.-	With a nitrogenous group as acceptor
82	1.9.98.-	With other, known, acceptors
83	1.9.99.-	With other acceptors
84	1.10.-.-	Acting on diphenols and related substances as donors
85	1.10.1.-	With NAD(+) or NADP(+) as acceptor
86	1.10.2.-	With a cytochrome as acceptor
87	1.10.3.-	With oxygen as acceptor
88	1.10.5.-	With a quinone or related compound as acceptor
89	1.10.9.-	With a copper protein as acceptor
90	1.10.98.-	With other, known, acceptors
91	1.10.99.-	With other acceptors
92	1.11.-.-	Acting on a peroxide as acceptor
93	1.11.1.-	Peroxidases
94	1.11.2.-	With H2O2 as acceptor, one oxygen atom of which is incorporated into the product
95	1.12.-.-	Acting on hydrogen as donors
96	1.12.1.-	With NAD(+) or NADP(+) as acceptor
97	1.12.2.-	With a cytochrome as acceptor
98	1.12.5.-	With a quinone or similar compound as acceptor
99	1.12.7.-	With an iron-sulfur protein as acceptor
100	1.12.98.-	With other, known, acceptors
101	1.12.99.-	With other acceptors
102	1.13.-.-	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2
103	1.13.1.-	With NADH or NADPH as one donor
104	1.13.11.-	With incorporation of two atoms of oxygen
105	1.13.12.-	With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)
106	1.13.99.-	Miscellaneous
107	1.14.-.-	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2
108	1.14.1.-	With NADH or NADPH as one donor
109	1.14.2.-	With ascorbate as one donor
110	1.14.3.-	With reduced pteridine as one donor
111	1.14.11.-	With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
112	1.14.12.-	With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor
113	1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom of oxygen
114	1.14.14.-	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
115	1.14.15.-	With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen
116	1.14.16.-	With reduced pteridine as one donor, and incorporation of one atom of oxygen
117	1.14.17.-	With reduced ascorbate as one donor, and incorporation of one atom of oxygen
118	1.14.18.-	With another compound as one donor, and incorporation of one atom of oxygen
119	1.14.19.-	With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
120	1.14.20.-	With 2-oxoglutarate as one donor, and the other dehydrogenated
